epoch,lr,Train_loss,Test_loss,Test_mIOU,Train_mIOU,Train_f1_score,Test_f1_score
1,[0.0001],0.4118785262107849,1.2666808366775513,53.477157472397316,27.777885880727656,0.7671202195657082,0.8778806980138362
2,[0.0001],0.3856855630874634,0.49803847074508667,60.013025528803276,53.444093607957164,0.8748425160249981,0.8794193940342685
3,[9.8e-05],0.25605466961860657,0.5018516778945923,65.6643775144091,63.61942936858378,0.9011971565884457,0.9017454153071314
4,[9.8e-05],0.6277267336845398,0.413034051656723,66.21663402451087,69.92679564407668,0.9193759349420496,0.8965847643908813
5,[9.604e-05],0.10140544176101685,0.5849631428718567,67.11140365851533,74.26453831005828,0.9295942163258912,0.8994087192200505
6,[9.604e-05],0.1927633434534073,0.43132284283638,68.79149490906624,78.17108102010559,0.9395357478901084,0.9099429714613824
7,[9.41192e-05],0.10603374987840652,0.7127127051353455,68.27289786801194,80.78784775104059,0.9449665490565737,0.9044912291170132
8,[9.41192e-05],0.21232710778713226,0.7055870294570923,70.13455348334251,83.81387733653519,0.9540905508647303,0.9116669944203741
9,[9.2236816e-05],0.07547091692686081,0.623984158039093,69.44610829849516,85.25087268838838,0.9588942010802087,0.9078241444515708
10,[9.2236816e-05],0.07534976303577423,1.2084623575210571,71.11949925166105,86.9593463085303,0.9626728898693254,0.9172920076344229
11,[9.039207968e-05],0.05448427423834801,0.9088366031646729,72.05533987380296,87.79740494016379,0.9644899758556313,0.9190471190268128
12,[9.039207968e-05],0.13418658077716827,0.47709643840789795,69.790494652029,88.41002432399007,0.9666522846870388,0.9118471402163428
13,[8.858423808639999e-05],0.06237003579735756,1.0093967914581299,71.6044757326825,89.11082867039782,0.9681599977049169,0.9187328077398597
14,[8.858423808639999e-05],0.07860776782035828,0.892501175403595,71.89171191938821,89.34127836832162,0.9685708770853846,0.9203437174757322
15,[8.681255332467199e-05],0.07739517092704773,0.6443397998809814,71.65744300412595,90.31336128081693,0.9718865161503922,0.9159959110925066
16,[8.681255332467199e-05],0.1058545932173729,0.4930722117424011,71.8296954496125,91.48259238016516,0.9747656199772156,0.9192716042680485
17,[8.507630225817855e-05],0.07043956220149994,0.6292819976806641,71.29211018616336,91.04349669691115,0.974027241091382,0.9154738417500657
18,[8.507630225817855e-05],0.09347782284021378,0.5897514224052429,71.1200863186469,91.58394864849726,0.9747036438262111,0.9168747790209808
19,[8.337477621301498e-05],0.050843246281147,0.6685738563537598,71.31210871722826,91.85718479251443,0.9752813936863272,0.9117621382717003
20,[8.337477621301498e-05],0.03589234501123428,0.5738083720207214,72.5795744647145,92.33558311290577,0.976825910791207,0.9224812173109525
21,[8.170728068875468e-05],0.05668330565094948,0.7586106657981873,72.0518499871539,92.41615999205902,0.9768295553425488,0.9203538894494091
22,[8.170728068875468e-05],0.03103695809841156,0.7930732369422913,72.06619897136758,93.02997401118618,0.9789495493702234,0.920684353219341
23,[8.007313507497958e-05],0.038728922605514526,0.703284740447998,72.3121850263496,92.872186330949,0.9783769086084791,0.9194905950148354
24,[8.007313507497958e-05],0.030025264248251915,0.9105766415596008,71.74313194071324,92.92162060095069,0.9784387176362723,0.9198386366960453
25,[7.847167237347999e-05],0.07881524413824081,0.7174184322357178,71.97381456843652,92.41809667195567,0.9775006547907197,0.9189682006843547
26,[7.847167237347999e-05],0.052837200462818146,0.8871264457702637,72.15037456499319,93.36871728754963,0.9795438675550077,0.9211881659842703
27,[7.690223892601038e-05],0.05112851783633232,1.0021672248840332,72.6372223975613,93.66995020061408,0.9807776440810926,0.9216314092738565
28,[7.690223892601038e-05],0.04023720324039459,0.9699560403823853,70.89872145462198,94.14979854259293,0.9818323410506922,0.9183188415285876
29,[7.536419414749018e-05],0.10347770154476166,0.7165590524673462,72.98836632299923,94.0053360842855,0.9813022275677338,0.9249561065648976
30,[7.536419414749018e-05],0.06893579661846161,0.7812457084655762,72.39054054753107,93.6868932141829,0.980622051200889,0.9223726171103709
31,[7.385691026454037e-05],0.03471739962697029,0.5207210183143616,71.66793063452857,93.8186334700711,0.980690162180132,0.9197287711235813
32,[7.385691026454037e-05],0.030693864449858665,0.7548947930335999,73.31511823099623,94.15259083233852,0.9814972754677551,0.9229443825142475
33,[7.237977205924956e-05],0.03151459991931915,1.1309446096420288,71.76200758351389,94.36403495098857,0.9818787243420989,0.9186593677671325
34,[7.237977205924956e-05],0.04956524074077606,0.9768237471580505,73.00384437383839,94.15643153265059,0.981539056558086,0.9233852932817167
35,[7.093217661806457e-05],0.035468995571136475,0.7563341856002808,72.47298214167421,94.73276093898258,0.983089616714701,0.9199289843213053
36,[7.093217661806457e-05],0.028771352022886276,1.0732146501541138,72.9877240374673,94.62779419468949,0.9824997394349081,0.9227342035080738
37,[6.951353308570328e-05],0.023983493447303772,1.2615482807159424,73.48429503470045,94.93760585016922,0.9830175602072709,0.9262559557097312
38,[6.951353308570328e-05],0.028599582612514496,1.2951054573059082,74.13436706218691,95.26936156259089,0.9843640879194223,0.9237727865850772
39,[6.812326242398921e-05],0.02950275130569935,0.7702852487564087,73.68191705161203,95.38197080002597,0.9848650514797617,0.9269687779492793
40,[6.812326242398921e-05],0.029284989461302757,1.0862497091293335,73.32625515196086,95.46907756457136,0.9848697777589008,0.9246420156035298
41,[6.676079717550942e-05],0.024470724165439606,1.3821583986282349,73.19668095064844,95.67746988923935,0.9855065901230324,0.9261415015769291
42,[6.676079717550942e-05],0.014254520647227764,1.1023303270339966,72.82241317055119,95.54868735869945,0.9851520426692499,0.9261401228534124
43,[6.542558123199923e-05],0.01041361503303051,0.9272218346595764,74.51306670223327,95.29368069760879,0.9850776319621157,0.9301827165023492
44,[6.542558123199923e-05],0.03460792079567909,0.7203651666641235,74.46031667147494,95.45251517372856,0.9848722708359342,0.9273639764816364
45,[6.411706960735925e-05],0.031669117510318756,1.0660476684570312,74.79426929258435,95.6559576662472,0.9855561789778206,0.9279642651842737
46,[6.411706960735925e-05],0.03168651834130287,1.1465989351272583,74.636992331785,95.78002166094124,0.9856049630960195,0.9278012420411199
47,[6.283472821521206e-05],0.05404570698738098,1.1644361019134521,74.72790638560282,95.90453676117806,0.9859077146658267,0.9294531525298736
48,[6.283472821521206e-05],0.01761017180979252,1.1475168466567993,74.47478909493512,95.74686439173954,0.9858687032112131,0.9282167993018169
49,[6.157803365090782e-05],0.04092242568731308,1.2358700037002563,73.78095111976519,95.63756384796717,0.9855095751158256,0.9272646320570519
50,[6.157803365090782e-05],0.025037437677383423,1.2202439308166504,73.915015684176,95.93598980675809,0.9860183670205989,0.9279428424699352
