epoch,lr,Train_loss,Test_loss,Test_mIOU,Train_mIOU,Train_f1_score,Test_f1_score
1,[0.0001],0.8323372006416321,1.1535415649414062,56.16660228654741,34.85427412720558,0.7765115525109307,0.8630421741978623
2,[0.0001],0.48032692074775696,0.7203407287597656,62.49887659576727,60.90973963331532,0.8871947192194978,0.8944496023917017
3,[9.8e-05],0.2630613148212433,0.7907440662384033,62.59852317714786,67.0540609766003,0.9082748523414759,0.8857842690414702
4,[9.8e-05],0.3592803478240967,0.7094138860702515,65.35572930083606,72.35354267717912,0.9227358691249615,0.8939748582051674
5,[9.604e-05],0.3435107171535492,0.3965356647968292,65.57844437404347,75.8898739288264,0.9298543284242855,0.8957112321987822
6,[9.604e-05],0.22775104641914368,1.282034993171692,65.48894815546046,78.20318107029404,0.9379726817122994,0.8981091726413766
7,[9.41192e-05],0.17578111588954926,0.48800012469291687,68.04749430952744,82.19688646576444,0.947894317393121,0.9009329597164054
8,[9.41192e-05],0.13763566315174103,0.3043704330921173,68.67510859042557,83.54782201669568,0.9510668300082893,0.9044276829141255
9,[9.2236816e-05],0.15119002759456635,0.629286527633667,69.07747442022352,84.58879335047396,0.9543338715461714,0.9058228161140901
10,[9.2236816e-05],0.10308504849672318,1.300249457359314,69.32088788746391,85.67525256652308,0.9573969988824622,0.9066224595868114
11,[9.039207968e-05],0.09793352335691452,0.5529751181602478,68.05708421475403,87.08226065139709,0.9609215259181155,0.9016035595884767
12,[9.039207968e-05],0.12107141315937042,0.7648352384567261,68.61117514037208,87.08330551695711,0.9605250123331801,0.9063334114938384
13,[8.858423808639999e-05],0.11235994100570679,1.0198044776916504,67.85617155660472,88.13178397366545,0.9636876542984578,0.8996018626911738
14,[8.858423808639999e-05],0.07383941859006882,0.819399893283844,69.76768216512644,88.69944654658849,0.965203936825649,0.9091427096251704
15,[8.681255332467199e-05],0.07197172194719315,0.7974130511283875,68.60673726670746,89.46246102601279,0.9671336011049223,0.9054782852646968
16,[8.681255332467199e-05],0.07318409532308578,0.8655816316604614,68.31284865559111,89.43887104698479,0.967513987698043,0.9081077395985019
17,[8.507630225817855e-05],0.08117974549531937,0.8813334107398987,70.10695341084894,89.84759451386182,0.968516305664096,0.9125029066480469
18,[8.507630225817855e-05],0.09307676553726196,1.0124772787094116,69.1133771594427,89.99053698246335,0.9688030293167983,0.9063318646437899
19,[8.337477621301498e-05],0.07989061623811722,1.7787528038024902,69.66348044457946,90.18485155865031,0.9696305081956446,0.9099312141614438
20,[8.337477621301498e-05],0.08891846239566803,0.6064311861991882,69.83981310782494,90.55554602469952,0.9705957703168917,0.9103620026561875
21,[8.170728068875468e-05],0.07790927588939667,0.8067699074745178,68.53892968025045,90.45545769775832,0.9705720829363507,0.8996754597817623
